metric,critical,time,value,forecast,forecast_time,forecast_value,forecast_lower,forecast_upper
total_tbs,False,2024-12-12 16:00:00,45.0,47.904676002541926,2024-12-12 16:00:00,32.30944750382193,14.868653744019278,47.904676002541926
vert_tbs,False,2024-12-12 16:00:00,32.0,41.3715397540904,2024-12-12 16:00:00,25.708180895383727,11.045853496214905,41.3715397540904
pod_tbs,True,2024-12-12 16:00:00,13.0,11.83727661616683,2024-12-12 16:00:00,6.720334966500044,1.778232474044581,11.83727661616683
