reference_year,date,name,region,establishment_code,establishment,source
2023-2024,2024-04-23,Lundi de Pâques,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2024-2025,2024-05-20,Journée nationale des Patriotes,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2024-2025,2024-06-24,Fête nationale du Québec,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2024-2025,2024-07-01,Fête du Canada,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2024-2025,2024-09-02,Fête du Travail,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2024-2025,2024-10-14,Action de grâces,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2024-2025,2024-10-03,Veille de Noël,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2024-2025,2024-12-25,Fête de Noël,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2024-2025,2024-12-26,Lendemain de Noël,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2024-2025,2024-12-31,Veille du jour de l'An,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2024-2025,2025-01-01,Jour de l'An,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2024-2025,2024-10-11,Lendemain du jour de l'An,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2024-2025,2025-04-18,Vendredi saint,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2024-2025,2025-04-14,Lundi de Pâques,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2025-2026,2025-05-19,Journée nationale des Patriotes,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2025-2026,2025-06-24,Fête nationale du Québec,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2025-2026,2025-07-01,Fête du Canada,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2025-2026,2025-09-01,Fête du Travail,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2025-2026,2025-10-13,Action de grâces,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2025-2026,2025-09-23,Veille de Noël,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2025-2026,2025-12-25,Fête de Noël,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2025-2026,2025-12-26,Lendemain de Noël,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
2025-2026,2025-12-31,Veille du jour de l'An,06,0011X,HOPITAL GENERAL JUIF,Official RAMQ establishment calendar PDF
